Date,Temperature (C),Humidity,Pressure (PSI)
2022-04-12 13:18:16,20.86,24.48,14.79
2022-04-12 13:18:17,20.84,24.46,14.79
2022-04-12 13:18:18,20.84,24.46,14.79
2022-04-12 13:18:19,20.85,24.49,14.79
2022-04-12 13:18:20,20.85,24.5,14.79
2022-04-12 13:18:21,20.86,24.44,14.79
2022-04-12 13:18:22,20.85,24.47,14.79
2022-04-12 13:18:23,20.84,24.48,14.79
2022-04-12 13:18:25,20.85,24.42,14.8
2022-04-12 13:18:26,20.85,24.5,14.79
2022-04-12 13:18:27,20.84,24.47,14.79
2022-04-12 13:18:28,20.84,24.51,14.79
2022-04-12 13:18:29,20.85,24.51,14.79
2022-04-12 13:18:30,20.85,24.51,14.79
2022-04-12 13:18:31,20.85,24.49,14.79
2022-04-12 13:18:32,20.85,24.51,14.8
2022-04-12 13:18:33,20.86,24.47,14.79
2022-04-12 13:18:34,20.84,24.49,14.8
2022-04-12 13:18:35,20.85,24.52,14.8
2022-04-12 13:18:36,20.85,24.51,14.8
2022-04-12 13:18:38,20.85,24.56,14.79
2022-04-12 13:18:39,20.84,24.56,14.79
2022-04-12 13:18:40,20.85,24.58,14.79
2022-04-12 13:18:41,20.86,24.64,14.8
